StartTime: 2020-05-28 14:19:57.790
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP 
	14:19:57.795		0.0271	-0.0012	0.2511	0.0000	0.0000	0.0000	-0.2911	-6.2512	29.0039	34.9300	60	157	-225																			
	14:19:57.797		0.0272	-0.0015	0.2511	0.0000	0.0000	0.0000	-0.2911	-6.2457	28.9819	34.9900	62	156	-222																			
	14:19:57.798		0.0271	-0.0015	0.2511	0.0000	0.0000	0.0000	-0.2911	-6.2402	28.9874	34.9800	62	160	-222																			
	14:19:57.799		0.0270	-0.0015	0.2511	0.0000	0.0000	0.0000	-0.2966	-6.2347	28.9215	34.8900	60	160	-225																			
	14:19:57.799		0.0270	-0.0015	0.2511	0.0000	0.0000	0.0000	-0.2966	-6.2292	28.8336	34.9900	61	159	-221																			
	14:19:57.801		0.0270	-0.0015	0.2511	0.0000	0.0000	0.0000	-0.3021	-6.2238	28.8062	35.0100	60	153	-220																			
	14:19:57.801		0.0271	-0.0013	0.2511	0.0000	0.0000	0.0000	-0.3021	-6.2183	28.7952	34.9600	59	154	-218																			
	14:19:57.802		0.0270	-0.0013	0.2512	0.0000	0.0000	0.0000	-0.3021	-6.2128	28.7292	35.0000	59	159	-220																			
	14:19:57.803		0.0271	-0.0013	0.2512	0.0000	0.0000	0.0000	-0.3021	-6.2073	28.6963	35.0100	62	157	-219																			
	14:19:57.804		0.0276	-0.0013	0.2512	0.0000	0.0000	0.0000	-0.3021	-6.2128	28.7018	34.9300	62	156	-220																			
	14:19:57.804		0.0276	-0.0015	0.2511	0.0000	0.0000	0.0000	-0.3021	-6.2128	28.6963	35.0100	60	158	-221																			
	14:19:57.805		0.0276	-0.0016	0.2511	0.0000	0.0000	0.0000	-0.3076	-6.2183	28.6359	35.0800	60	159	-219																			
	14:19:57.806		0.0271	-0.0015	0.2510	0.0000	0.0000	0.0000	-0.3076	-6.2183	28.6194	34.9700	61	159	-218																			
	14:19:57.809		0.0270	-0.0013	0.2510	0.0000	0.0000	0.0000	-0.3076	-6.2128	28.5315	35.0100	59	160	-214																			
	14:19:57.809		0.0273	-0.0013	0.2511	0.0000	0.0000	0.0000	-0.3076	-6.2128	28.2458	35.0300	43	174	-208																			
	14:19:57.810		0.0275	-0.0015	0.2512	0.0000	0.0000	0.0000	-0.3076	-6.2128	27.8284	35.0200	47	171	-224																			
	14:19:57.811		0.0275	-0.0015	0.2513	0.0000	0.0000	0.0000	-0.3076	-6.2128	27.5812	35.0700	54	169	-226																			
	14:19:57.812		0.0273	-0.0015	0.2513	0.0000	0.0000	0.0000	-0.3131	-6.2128	27.4713	35.0200	57	169	-228																			
	14:19:57.812		0.0271	-0.0015	0.2511	0.0000	0.0000	0.0000	-0.3131	-6.2128	27.3999	35.1000	58	166	-225																			
	14:19:57.813		0.0272	-0.0015	0.2512	0.0000	0.0000	0.0000	-0.3131	-6.2073	27.3615	35.1000	58	160	-220																			
	14:19:57.814		0.0273	-0.0015	0.2512	0.0000	0.0000	0.0000	-0.3131	-6.2073	27.3450	35.0200	58	159	-221																			
	14:19:57.815		0.0275	-0.0016	0.2511	0.0000	0.0000	0.0000	-0.3131	-6.2073	27.3395	35.0700	57	160	-219																			
	14:19:57.816		0.0275	-0.0015	0.2511	0.0000	0.0000	0.0000	-0.3186	-6.2073	27.3175	35.1200	57	159	-220																			
	14:19:57.816		0.0275	-0.0016	0.2512	0.0000	0.0000	0.0000	-0.3186	-6.2128	27.3120	35.1200	58	159	-222																			
	14:19:57.817		0.0275	-0.0016	0.2511	0.0000	0.0000	0.0000	-0.3241	-6.2128	27.3285	35.0800	58	160	-219																			
	14:19:57.818		0.0275	-0.0013	0.2510	0.0000	0.0000	0.0000	-0.3241	-6.2128	27.3010	35.0800	58	165	-220																			
	14:19:57.819		0.0276	-0.0013	0.2510	0.0000	0.0000	0.0000	-0.3186	-6.2183	27.2681	35.0800	58	161	-219																			
	14:19:57.820		0.0273	-0.0015	0.2511	0.0000	0.0000	0.0000	-0.3186	-6.2183	27.2791	35.1100	57	161	-222																			
	14:19:57.821		0.0271	-0.0016	0.2512	0.0000	0.0000	0.0000	-0.3241	-6.2128	27.2571	35.0900	58	163	-223																			
	14:19:57.821		0.0270	-0.0015	0.2512	0.0000	0.0000	0.0000	-0.3241	-6.2073	27.1857	35.1000	59	172	-219																			
	14:19:57.823		0.0270	-0.0015	0.2511	0.0000	0.0000	0.0000	-0.3241	-6.2073	27.0648	35.0600	56	170	-219																			
	14:19:57.823		0.0271	-0.0013	0.2512	0.0000	0.0000	0.0000	-0.3241	-6.2018	26.9879	35.1200	59	163	-218																			
	14:19:57.824		0.0271	-0.0012	0.2512	0.0000	0.0000	0.0000	-0.3241	-6.1963	26.9659	35.1100	58	156	-220																			
